id_communication,SMS_received
5634718,0
5641780,0
5637909,0
5555577,0
5640026,0
5638420,0
5638671,0
5639378,0
5629174,0
5489022,0
5630238,0
5626046,0
5625993,0
5638171,0
5638390,0
5639385,0
5637822,0
5599125,0
5641797,0
5640471,0
5641196,0
5637962,0
5628396,0
5639646,0
5556707,0
5641584,0
5640257,0
5625161,0
5638546,0
5637710,0
5640728,0
5625138,0
5628643,0
5638459,0
5637886,0
5636067,0
5642924,0
5626513,0
5626309,0
5617978,0
5642780,0
5629145,0
5638717,0
5645408,0
5695597,0
5696317,0
5573102,0
5656260,0
5709057,0
5651167,0
5567911,0
5672103,0
5648325,0
5572544,0
5652622,0
5652619,0
5684449,0
5684699,0
5646383,0
5677116,0
5707102,0
5712071,0
5665986,0
5680700,0
5646646,0
5694746,0
5694744,0
5716221,0
5680161,0
5690422,0
5715038,0
5686896,0
5615992,0
5657290,0
5662377,0
5731456,0
5722058,0
5724483,0
5726295,0
5676295,0
5677757,0
5718591,0
5684092,0
5716429,0
5706181,0
5688693,0
5635447,0
5689212,0
5680898,0
5693006,0
5648407,0
5665601,0
5672714,0
5686071,0
5681367,0
5670485,0
5640783,0
5695828,0
5676708,0
5660590,0
5669851,0
5696172,0
5682192,0
5715298,0
5744499,0
5648320,0
5748871,0
5749112,0
5699544,0
5693528,0
5664394,0
5724023,0
5682875,0
5695866,0
5738895,0
5738907,0
5712715,0
5718928,0
5682214,0
5645102,0
5694884,0
5655857,0
5678327,0
5626923,0
5678438,0
5678436,0
5650563,0
5678716,0
5556720,0
5679118,0
5748422,0
5559912,0
5555177,0
5538216,0
5742320,0
5729807,0
5712801,0
5685476,0
5739372,0
5750971,0
5735307,0
5595197,0
5675920,0
5637047,0
5658998,0
5708124,0
5660991,0
5708122,0
5684441,0
5719957,0
5717300,0
5685839,0
5687248,0
5670566,0
5416059,0
5696355,0
5728242,0
5735446,0
5614122,0
5691368,0
5673835,0
5660417,0
5697238,0
5590593,0
5739378,0
5686787,0
5702504,0
5645506,0
5680409,0
5651500,0
5729115,0
5744562,0
5743327,0
5670796,0
5696978,0
5689755,0
5713183,0
5668668,0
5730432,0
5668686,0
5680233,0
5554520,0
5647075,0
5646195,0
5676166,0
5695996,0
5674476,0
5678924,0
5660814,0
5707802,0
5715827,0
5712390,0
5677569,0
5721500,0
5661550,0
5649434,0
5579472,0
5575853,0
5736756,0
5693847,0
5664793,0
5669248,0
5743396,0
5650666,0
5735986,0
5688298,0
5693287,0
5678768,0
5654193,0
5682434,0
5717053,0
5668325,0
5690914,0
5677448,0
5728320,0
5660244,0
5654802,0
5635991,0
5681856,0
5743616,0
5645003,0
5666522,0
5653805,0
5709402,0
5571166,0
5723558,0
5672550,0
5688606,0
5655014,0
5688793,0
5714208,0
5730339,0
5674831,0
5704289,0
5644093,0
5694155,0
5646567,0
5653035,0
5708645,0
5633093,0
5738961,0
5643666,0
5646240,0
5646791,0
5686066,0
5705045,0
5737917,0
5719580,0
5676095,0
5673236,0
5733039,0
5703664,0
5687005,0
5752600,0
5646558,0
5692755,0
5691795,0
5714625,0
5738974,0
5655397,0
5667433,0
5673533,0
5643762,0
5675532,0
5688195,0
5687363,0
5734225,0
5654568,0
5753999,0
5644931,0
5607665,0
5642971,0
5710843,0
5643542,0
5746730,0
5626106,0
5678099,0
5679808,0
5654392,0
5739304,0
5665072,0
5692009,0
5749933,0
5661784,0
5732619,0
5681695,0
5713994,0
5640884,0
5660157,0
5655152,0
5659859,0
5744201,0
5668422,0
5701049,0
5668060,0
5739161,0
5660968,0
5668508,0
5728633,0
5699832,0
5694657,0
5666080,0
5687417,0
5693145,0
5702897,0
5711685,0
5671603,0
5682711,0
5655980,0
5675281,0
5654648,0
5685663,0
