id_suministro,id_medidor,anio_mes,energia_valle,energia_pico,energia_media,energia_total,monto_facturado
1000000,2000000,2021-01,107.6,86.89,67.4,261.89,171.23
1000000,2000000,2021-02,86.65,106.72,55.74,249.12,162.93
1000000,2000000,2021-03,99.17,112.12,39.62,250.91,164.09
1000000,2000000,2021-04,84.99,69.22,45.43,199.64,130.76
1000000,2000000,2021-05,137.07,91.89,61.18,290.13,189.59
1000000,2000000,2021-06,166.79,115.07,61.29,343.15,224.05
1000000,2000000,2021-07,131.38,104.05,77.76,313.19,204.57
1000000,2000000,2021-08,116.98,124.57,43.62,285.18,186.36
1000000,2000000,2021-09,85.99,57.96,51.01,194.95,127.72
1000000,2000000,2021-10,85.58,64.01,67.15,216.74,141.88
1000000,2000000,2021-11,134.88,87.19,50.54,272.62,178.2
1000000,2000000,2021-12,99.96,72.31,73.35,245.61,160.65
1000014,2000019,2021-01,97.1,52.74,69.31,219.15,143.45
1000014,2000019,2021-02,75.77,102.35,46.5,224.62,147.0
1000014,2000019,2021-03,110.54,88.6,53.26,252.41,165.06
1000014,2000019,2021-04,65.7,89.45,66.19,221.35,144.88
1000014,2000019,2021-05,109.32,113.68,50.19,273.19,178.58
1000014,2000019,2021-06,75.65,28.44,66.94,171.04,112.17
1000014,2000019,2021-07,73.91,92.88,69.56,236.35,154.63
1000014,2000019,2021-08,98.17,94.4,43.67,236.24,154.56
1000014,2000019,2021-09,129.83,104.2,59.81,293.84,192.0
1000014,2000019,2021-10,89.59,93.32,59.37,242.28,158.48
1000014,2000019,2021-11,115.23,72.86,38.25,226.33,148.12
1000014,2000019,2021-12,68.39,88.1,55.84,212.33,139.02
1000017,2000022,2021-01,133.17,79.2,53.89,266.26,174.07
1000017,2000022,2021-02,61.89,100.77,52.66,215.32,140.95
1000017,2000022,2021-03,136.35,120.65,76.38,333.37,217.69
1000017,2000022,2021-04,111.05,106.83,68.38,286.26,187.07
1000017,2000022,2021-05,96.43,116.1,82.54,295.07,192.8
1000017,2000022,2021-06,87.9,88.39,62.58,238.87,156.26
1000017,2000022,2021-07,93.41,82.06,65.99,241.45,157.95
1000017,2000022,2021-08,102.52,67.97,83.07,253.56,165.81
