id_suministro,id_medidor,anio_mes,energia_total_kwh,demanda_max_kw,n_registros,n_registros_error
1001973,2000000,2024-01,719.7058683938818,4.837240750735901,744,14
1005845,2000001,2024-01,237.62393577762793,2.4186291111984835,744,6
1013497,2000002,2024-01,318.9609481275826,2.3569214551779765,744,4
1039828,2000003,2024-01,634.270230594032,5.712830131830341,744,9
1042146,2000004,2024-01,662.2661729326633,4.184509835269327,744,7
1048635,2000005,2024-01,150.31017211906772,1.319193372189015,744,2
1049232,2000006,2024-01,148.878960394021,0.9857929145421316,744,8
1055138,2000007,2024-01,193.1966552949355,1.8397518978560168,744,0
1062764,2000008,2024-01,441.9740704954373,2.377941340623945,744,2
1069609,2000009,2024-01,227.00350067621403,1.416688780361248,744,13
1070773,2000010,2024-01,384.3729248130809,2.2518965218225073,744,12
1071687,2000011,2024-01,459.733357648884,3.2133273133572073,744,6
1076013,2000012,2024-01,166.8675256765028,1.0904606444164104,744,8
1085750,2000013,2024-01,551.8624213124347,3.5940717369155846,744,5
1087928,2000014,2024-01,107.259525818654,0.7559459868613635,744,4
1088866,2000015,2024-01,57.28116228402807,0.36412411016634294,744,3
1088935,2000016,2024-01,852.2110323175967,4.589865123462504,744,2
1089175,2000017,2024-01,764.903752306912,6.848786681671931,744,1
1089770,2000018,2024-01,479.5537073203745,3.0527200944601076,744,8
1091920,2000019,2024-01,401.27084862182807,2.8369340717150506,744,3
1094953,2000020,2024-01,265.05063025375927,1.555576106034,744,14
1099428,2000021,2024-01,316.25976207355455,2.892684023284659,744,2
1107955,2000022,2024-01,208.11323908011568,1.8752604756867872,744,13
1129303,2000023,2024-01,713.9919605305362,6.456351262311846,744,7
1130653,2000024,2024-01,193.01315133630763,1.8952027154598954,744,14
1148498,2000025,2024-01,344.2786674203506,2.474135093543463,744,11
1154218,2000026,2024-01,552.7270433062815,4.228427214949468,744,10
1155234,2000027,2024-01,230.67696386876494,1.3507667798394616,744,5
1160079,2000028,2024-01,341.8416210166255,2.3428725589949417,744,13
1168654,2000029,2024-01,193.2726105017921,1.1385114216691359,744,12
1175985,2000030,2024-01,387.00534929056306,2.71538513717647,744,3
1183813,2000031,2024-01,254.84264938049103,2.7382840518551297,744,1
1195794,2000032,2024-01,982.2119633469799,5.548712824988982,744,3
1209464,2000033,2024-01,475.9994758153478,4.445816472051329,744,10
1217605,2000034,2024-01,828.4938234892289,4.463013404201816,744,14
1233839,2000035,2024-01,823.7190630701284,6.584700320296946,744,3
1236729,2000036,2024-01,454.9864372782658,4.397898103762511,744,1
1238610,2000037,2024-01,830.4820221206685,8.441871821366131,744,7
1239011,2000038,2024-01,637.3549949998283,4.069082184407345,744,6
1242729,2000039,2024-01,190.4977102187239,2.0164937378269956,744,8
1254477,2000040,2024-01,320.081541932095,2.0617253497851675,744,0
1273651,2000041,2024-01,178.76294564632533,0.9873015051534486,744,7
1292302,2000042,2024-01,545.3266212681148,5.667976532747475,744,6
1293033,2000043,2024-01,749.2445649221223,5.155738399619756,744,4
1296928,2000044,2024-01,367.2745916069029,2.040678703573149,744,3
1297312,2000045,2024-01,740.3247700033463,4.180137883536283,744,4
1297324,2000046,2024-01,549.8541677858743,3.3528904436878637,744,6
1297851,2000047,2024-01,627.8575532323559,6.204346793840374,744,11
1300467,2000048,2024-01,191.43513559527398,1.9780811802490916,744,7
1304126,2000049,2024-01,148.05671876599754,1.455988992841592,744,0
1305858,2000050,2024-01,540.1379071606638,3.080939740854931,744,0
1309197,2000051,2024-01,404.82670513664544,2.6755840966222415,744,10
1309406,2000052,2024-01,369.1805177486413,2.283536830568062,744,9
1317123,2000053,2024-01,427.8780386480002,2.4128513874866866,744,11
1317800,2000054,2024-01,472.11065185887793,3.8116958020984577,744,4
1324375,2000055,2024-01,498.73680588659454,3.8059289052642082,744,10
1326493,2000056,2024-01,267.2669720859697,2.184405551686079,744,11
1333405,2000057,2024-01,23963.685398216963,208.33779952592812,744,13
1346976,2000058,2024-01,181.36566067095296,1.1956035256862412,744,11
1348825,2000059,2024-01,646.4206609724127,6.034926665129549,744,6
1371214,2000060,2024-01,404.08779783414803,2.7761925966099854,744,8
1378262,2000061,2024-01,28879.863808002367,171.11109064020076,744,8
1380185,2000062,2024-01,528.9667648439998,4.129100101836211,744,10
1383408,2000063,2024-01,959.7915442318606,5.78885914301318,744,14
1385719,2000064,2024-01,87.86170640118449,0.5727903562152341,744,13
1386122,2000065,2024-01,306.44287861681903,1.8282252379429542,744,6
1399450,2000066,2024-01,573.2433901213757,4.378045484202928,744,1
1399756,2000067,2024-01,393.6991596637041,2.2769296413319977,744,6
1409362,2000068,2024-01,122.44865969574234,0.8235440994083381,744,8
1415603,2000069,2024-01,22224.78478052184,165.03862573461623,744,12
1421903,2000070,2024-01,136.99652931377722,0.7513950350912699,744,5
1431993,2000071,2024-01,94.64628245084475,0.6981882327467585,744,9
1433904,2000072,2024-01,379.9718650757989,2.427910857801923,744,2
1435642,2000073,2024-01,408.0864136385039,2.672506763392811,744,11
1448200,2000074,2024-01,773.129909212226,5.900613331597241,744,3
1452365,2000075,2024-01,68.61457084939236,0.48363580831892156,744,4
1494103,2000076,2024-01,675.73547762661,5.404168256969022,744,8
1494732,2000077,2024-01,360.01383828981943,3.2514199606602214,744,6
1499232,2000078,2024-01,581.6846450392352,4.24275717044183,744,10
1502475,2000079,2024-01,299.1863632544074,2.3883590107069606,744,14
1511187,2000080,2024-01,32734.094203701614,190.36375029026203,744,9
1512676,2000081,2024-01,572.9537716966115,4.405975857875235,744,10
1519034,2000082,2024-01,184.33796274812664,0.9948135595303981,744,8
1522068,2000083,2024-01,769.6537508697903,7.600920384195234,744,9
1524041,2000084,2024-01,222.53130220488512,1.5021625709132895,744,9
1528797,2000085,2024-01,403.54167411332594,2.727373737562481,744,8
1539450,2000086,2024-01,347.39683893110174,3.1016859990033727,744,10
1541754,2000087,2024-01,426.5719828214825,3.658269208568038,744,9
1547965,2000088,2024-01,181.91835266612102,1.3107727942154088,744,7
1553140,2000089,2024-01,322.3313115679225,2.618183709749029,744,5
1557371,2000090,2024-01,216.17065801091852,2.0260248612314933,744,10
1578136,2000091,2024-01,246.15246353569265,1.3416659797807473,744,1
1582928,2000092,2024-01,492.96037178805403,2.6986794729267634,744,2
1585247,2000093,2024-01,149.76561970856199,0.969817219207468,744,11
1585388,2000094,2024-01,453.69219586599337,3.019940425941851,744,7
1585714,2000095,2024-01,345.6069774683396,3.408372866268453,744,7
1596179,2000096,2024-01,982.7751838134553,7.302687473223213,744,13
1597869,2000097,2024-01,474.1186382257522,2.788086050520561,744,5
1601640,2000098,2024-01,138.01197464718507,0.8848273619970618,744,6
1606514,2000099,2024-01,653.0938982680899,6.730067625476165,744,5
1608149,2000100,2024-01,235.53771592441007,1.2899986683133653,744,8
1621309,2000101,2024-01,743.3679633323235,5.220497328660153,744,2
1627600,2000102,2024-01,226.18424055068857,1.407705505957924,744,6
1628990,2000103,2024-01,256.1918413530123,1.743846806302161,744,12
1630096,2000104,2024-01,626.2539407014084,3.414946048570863,744,7
1631696,2000105,2024-01,1878.7457004021708,14.887385274067885,744,8
1637632,2000106,2024-01,108.1077565921023,0.9605194731593389,744,7
