id_suministro,id_medidor,anio_mes,energia_valle,energia_pico,energia_media,energia_total,monto_facturado
1000000,2000000,2022-01,50.22,116.36,57.85,224.43,146.88
1000000,2000000,2022-02,61.81,97.13,83.88,242.82,158.83
1000000,2000000,2022-03,115.59,100.97,57.51,274.07,179.15
1000000,2000000,2022-04,102.71,56.16,66.34,225.21,147.39
1000000,2000000,2022-05,118.56,72.64,81.86,273.05,178.48
1000000,2000000,2022-06,77.88,123.06,70.87,271.81,177.68
1000000,2000000,2022-07,101.58,124.58,64.31,290.46,189.8
1000000,2000000,2022-08,53.87,90.31,66.58,210.76,137.99
1000000,2000000,2022-09,103.19,110.52,52.4,266.11,173.97
1000000,2000000,2022-10,59.33,81.52,47.55,188.4,123.46
1000000,2000000,2022-11,79.46,65.35,49.4,194.21,127.24
1000000,2000000,2022-12,140.24,77.87,54.0,272.11,177.87
1000014,2000019,2022-01,59.59,124.44,55.34,239.36,156.59
1000014,2000019,2022-02,127.26,102.5,69.46,299.22,195.49
1000014,2000019,2022-03,106.13,91.06,47.4,244.59,159.98
1000014,2000019,2022-04,130.65,40.58,86.22,257.45,168.34
1000014,2000019,2022-05,102.47,95.35,58.28,256.1,167.46
1000014,2000019,2022-06,125.95,68.28,68.7,262.93,171.9
1000014,2000019,2022-07,72.16,63.08,62.37,197.61,129.45
1000014,2000019,2022-08,136.55,80.43,55.76,272.75,178.28
1000014,2000019,2022-09,94.71,51.93,63.56,210.21,137.64
1000014,2000019,2022-10,100.42,75.06,50.52,226.0,147.9
1000014,2000019,2022-11,75.13,95.92,57.38,228.43,149.48
1000014,2000019,2022-12,95.46,93.4,37.61,226.46,148.2
1000017,2000022,2022-01,75.56,74.71,53.71,203.99,133.59
1000017,2000022,2022-02,62.2,118.35,86.83,267.38,174.8
1000017,2000022,2022-03,99.04,82.24,67.42,248.69,162.65
1000017,2000022,2022-04,34.49,60.0,52.66,147.15,96.65
1000017,2000022,2022-05,126.01,100.5,64.41,290.92,190.1
1000017,2000022,2022-06,126.86,113.73,50.84,291.43,190.43
1000017,2000022,2022-07,72.36,91.5,62.21,226.07,147.94
1000017,2000022,2022-08,100.44,39.44,63.67,203.55,133.31
1000017,2000022,2022-09,90.13,130.87,66.51,287.52,187.89
1000017,2000022,2022-10,91.13,90.36,50.22,231.71,151.61
1000017,2000022,2022-11,76.15,96.42,67.31,239.89,156.93
1000017,2000022,2022-12,135.79,63.07,89.15,288.01,188.21
1000026,2000032,2022-01,78.43,94.88,87.34,260.66,170.43
1000026,2000032,2022-02,91.03,147.54,52.13,290.7,189.95
1000026,2000032,2022-03,122.26,109.5,55.26,287.01,187.56
1000026,2000032,2022-04,93.53,117.51,75.85,286.89,187.48
1000026,2000032,2022-05,92.26,97.98,69.01,259.24,169.51
1000026,2000032,2022-06,152.37,111.92,68.51,332.81,217.32
1000026,2000032,2022-07,87.43,129.19,72.91,289.54,189.2
1000026,2000032,2022-08,125.88,76.27,57.09,259.24,169.5
1000026,2000032,2022-09,112.0,95.45,61.36,268.81,175.73
1000026,2000032,2022-10,101.24,103.2,74.98,279.41,182.62
1000026,2000032,2022-11,79.73,117.68,66.0,263.4,172.21
1000026,2000032,2022-12,79.98,93.1,49.39,222.46,145.6
1000042,2000049,2022-01,78.27,97.42,62.72,238.41,155.97
1000042,2000049,2022-02,77.52,143.51,47.54,268.57,175.57
1000042,2000049,2022-03,145.24,82.29,69.5,297.04,194.07
1000042,2000049,2022-04,120.18,106.28,45.54,272.0,177.8
1000042,2000049,2022-05,147.04,120.23,39.57,306.83,200.44
1000042,2000049,2022-06,85.42,87.44,50.01,222.87,145.87
1000042,2000049,2022-07,64.53,122.04,55.53,242.1,158.37
1000042,2000049,2022-08,75.8,39.76,62.36,177.91,116.64
1000042,2000049,2022-09,61.73,99.86,32.03,193.61,126.85
1000042,2000049,2022-10,100.76,119.95,64.55,285.26,186.42
1000042,2000049,2022-11,112.27,112.0,62.25,286.53,187.24
1000042,2000049,2022-12,122.86,85.13,44.33,252.33,165.01
1000043,2000050,2022-01,77.93,99.59,44.09,221.62,145.05
1000043,2000050,2022-02,78.2,31.06,61.84,171.1,112.22
1000043,2000050,2022-03,114.72,102.63,89.1,306.45,200.19
1000043,2000050,2022-04,75.27,42.23,82.79,200.29,131.19
1000043,2000050,2022-05,124.35,86.99,54.69,266.03,173.92
1000043,2000050,2022-06,101.09,97.99,60.32,259.4,169.61
1000043,2000050,2022-07,112.27,104.48,46.15,262.9,171.88
1000043,2000050,2022-08,137.81,106.17,73.65,317.63,207.46
1000043,2000050,2022-09,97.68,116.87,64.62,279.17,182.46
1000043,2000050,2022-10,96.73,74.38,74.61,245.71,160.71
1000043,2000050,2022-11,,,,,
1000043,2000050,2022-12,82.01,94.44,60.95,237.4,155.31
1000046,2000053,2022-01,68.75,110.51,77.63,256.89,167.98
1000046,2000053,2022-02,95.05,97.48,53.27,245.79,160.77
1000046,2000053,2022-03,91.74,87.87,74.46,254.07,166.14
1000046,2000053,2022-04,,,,,
1000046,2000053,2022-05,89.44,102.98,59.83,252.25,164.96
1000046,2000053,2022-06,111.13,58.09,64.94,234.16,153.2
1000046,2000053,2022-07,95.39,103.91,63.91,263.22,172.09
1000046,2000053,2022-08,143.9,119.46,56.59,319.95,208.97
1000046,2000053,2022-09,88.6,85.15,43.93,217.68,142.49
1000046,2000053,2022-10,119.33,61.92,69.87,251.11,164.22
1000046,2000053,2022-11,151.78,68.1,53.35,273.23,178.6
1000046,2000053,2022-12,140.96,115.16,73.58,329.69,215.3
1000057,2000065,2022-01,43.71,89.3,63.01,196.02,128.41
1000057,2000065,2022-02,106.93,110.01,46.88,263.82,172.48
1000057,2000065,2022-03,133.87,104.22,56.17,294.26,192.27
1000057,2000065,2022-04,94.82,96.77,46.0,237.6,155.44
1000057,2000065,2022-05,61.43,71.17,50.48,183.09,120.01
1000057,2000065,2022-06,107.21,81.78,88.0,276.98,181.04
1000057,2000065,2022-07,59.6,114.55,76.06,250.21,163.64
1000057,2000065,2022-08,91.2,35.96,66.8,193.96,127.08
1000057,2000065,2022-09,70.23,58.13,66.49,194.86,127.66
1000057,2000065,2022-10,114.8,128.24,62.17,305.21,199.39
1000057,2000065,2022-11,,,,,
1000057,2000065,2022-12,81.88,38.07,66.92,186.88,122.47
1000069,2000079,2022-01,78.75,121.85,31.88,232.48,152.11
1000069,2000079,2022-02,77.91,110.26,82.22,270.39,176.75
1000069,2000079,2022-03,79.15,77.97,45.99,203.11,133.02
1000069,2000079,2022-04,94.19,31.81,51.05,177.04,116.08
1000069,2000079,2022-05,52.8,91.99,76.39,221.18,144.76
1000069,2000079,2022-06,99.74,92.59,73.04,265.36,173.49
1000069,2000079,2022-07,93.84,51.27,61.21,206.32,135.11
1000069,2000079,2022-08,138.62,69.5,58.37,266.49,174.22
1000069,2000079,2022-09,129.14,93.61,53.39,276.14,180.49
1000069,2000079,2022-10,75.44,61.42,44.63,181.49,118.97
1000069,2000079,2022-11,94.44,130.58,72.09,297.11,194.12
1000069,2000079,2022-12,117.48,119.16,46.57,283.2,185.08
1000086,2000102,2022-01,,,,,
1000086,2000102,2022-02,93.0,101.27,56.34,250.61,163.9
1000086,2000102,2022-03,94.5,88.0,49.94,232.43,152.08
1000086,2000102,2022-04,119.19,117.55,40.95,277.68,181.49
1000086,2000102,2022-05,124.32,84.7,81.8,290.81,190.03
1000086,2000102,2022-06,93.29,92.14,69.38,254.81,166.62
1000086,2000102,2022-07,143.82,121.37,77.14,342.33,223.51
1000086,2000102,2022-08,,,,,
1000086,2000102,2022-09,96.12,65.34,79.78,241.25,157.81
1000086,2000102,2022-10,76.84,96.06,64.2,237.09,155.11
1000086,2000102,2022-11,92.95,129.64,56.44,279.02,182.37
1000086,2000102,2022-12,114.9,91.62,48.91,255.42,167.02
1000097,2000115,2022-01,119.99,119.1,65.5,304.58,198.98
1000097,2000115,2022-02,63.28,50.51,58.46,172.25,112.96
1000097,2000115,2022-03,53.33,71.81,73.58,198.72,130.17
1000097,2000115,2022-04,99.67,67.28,49.94,216.89,141.98
1000097,2000115,2022-05,84.55,35.4,66.93,186.88,122.47
1000097,2000115,2022-06,103.36,60.89,56.77,221.02,144.66
1000097,2000115,2022-07,79.77,104.96,56.87,241.59,158.04
1000097,2000115,2022-08,97.63,127.3,37.3,262.22,171.44
1000097,2000115,2022-09,97.23,80.83,54.85,232.9,152.39
1000097,2000115,2022-10,84.74,89.34,47.5,221.59,145.03
1000097,2000115,2022-11,,,,,
1000097,2000115,2022-12,84.67,105.64,66.8,257.11,168.12
1000113,2000135,2022-01,111.98,39.63,49.66,201.28,131.83
1000113,2000135,2022-02,87.1,66.34,63.31,216.74,141.88
1000113,2000135,2022-03,105.21,123.59,63.03,291.82,190.69
1000113,2000135,2022-04,100.66,81.43,66.89,248.98,162.84
1000113,2000135,2022-05,99.35,113.28,65.45,278.07,181.75
1000113,2000135,2022-06,373.44,415.61,223.37,1012.42,659.07
1000113,2000135,2022-07,70.11,83.8,67.67,221.58,145.03
1000113,2000135,2022-08,83.56,84.28,43.6,211.44,138.43
1000113,2000135,2022-09,141.24,66.28,70.29,277.81,181.58
1000113,2000135,2022-10,113.96,94.31,90.39,298.66,195.13
1000113,2000135,2022-11,109.66,74.56,51.57,235.8,154.27
1000113,2000135,2022-12,97.18,137.59,65.0,299.77,195.85
1000137,2000160,2022-01,46.38,158.26,48.07,252.71,165.26
1000137,2000160,2022-02,77.72,83.01,60.12,220.85,144.55
1000137,2000160,2022-03,112.94,85.11,59.18,257.24,168.2
1000137,2000160,2022-04,104.42,84.04,56.3,244.76,160.1
1000137,2000160,2022-05,105.27,37.6,95.34,238.21,155.84
1000137,2000160,2022-06,88.7,78.41,55.19,222.29,145.49
1000137,2000160,2022-07,116.18,98.47,77.13,291.78,190.66
1000137,2000160,2022-08,75.03,47.99,45.36,168.38,110.45
1000137,2000160,2022-09,81.95,70.18,67.74,219.88,143.92
1000137,2000160,2022-10,,,,,
1000137,2000160,2022-11,75.24,75.63,50.13,201.01,131.65
1000137,2000160,2022-12,53.93,90.43,74.21,218.57,143.07
1000141,2000164,2022-01,104.23,100.67,47.75,252.65,165.22
1000141,2000164,2022-02,95.06,56.48,62.47,214.01,140.1
1000141,2000164,2022-03,87.78,90.5,49.02,227.3,148.74
1000141,2000164,2022-04,102.97,55.98,72.84,231.78,151.66
1000141,2000164,2022-05,138.83,52.19,55.69,246.72,161.37
1000141,2000164,2022-06,61.48,70.6,59.5,191.59,125.53
1000141,2000164,2022-07,105.2,128.96,45.19,279.35,182.58
1000141,2000164,2022-08,55.25,75.62,59.64,190.5,124.83
1000141,2000164,2022-09,70.7,99.7,62.72,233.12,152.53
1000141,2000164,2022-10,115.63,97.63,48.12,261.38,170.9
1000141,2000164,2022-11,66.55,78.39,56.97,201.9,132.24
1000141,2000164,2022-12,131.17,68.23,52.4,251.81,164.67
1000152,2000176,2022-01,101.23,81.04,65.82,248.09,162.26
1000152,2000176,2022-02,128.64,98.77,79.37,306.78,200.4
1000152,2000176,2022-03,157.97,120.89,77.38,356.24,232.55
1000152,2000176,2022-04,138.44,82.68,58.95,280.07,183.04
1000152,2000176,2022-05,117.49,57.75,66.69,241.93,158.25
1000152,2000176,2022-06,58.93,90.73,56.36,206.01,134.91
1000152,2000176,2022-07,124.34,67.34,56.59,248.27,162.37
1000152,2000176,2022-08,98.78,68.34,46.42,213.55,139.8
1000152,2000176,2022-09,86.84,73.89,40.67,201.4,131.91
1000152,2000176,2022-10,57.18,98.19,62.88,218.26,142.87
1000152,2000176,2022-11,89.96,68.9,49.68,208.54,136.55
1000152,2000176,2022-12,92.95,48.27,46.23,187.45,122.84
1000171,2000197,2022-01,114.81,104.98,88.08,307.88,201.12
1000171,2000197,2022-02,137.96,95.32,52.11,285.39,186.5
1000171,2000197,2022-03,119.23,77.01,85.18,281.42,183.93
1000171,2000197,2022-04,96.45,116.69,79.63,292.77,191.3
1000171,2000197,2022-05,75.16,71.05,62.29,208.5,136.53
1000171,2000197,2022-06,101.16,111.27,59.25,271.68,177.59
1000171,2000197,2022-07,122.52,70.21,53.65,246.38,161.15
1000171,2000197,2022-08,68.6,78.98,71.55,219.13,143.43
1000171,2000197,2022-09,322.37,285.44,179.42,787.23,512.7
1000171,2000197,2022-10,108.52,125.7,88.94,323.16,211.06
1000171,2000197,2022-11,59.26,67.72,60.91,187.89,123.13
1000171,2000197,2022-12,113.96,101.66,67.41,283.03,184.97
1000173,2000199,2022-01,100.5,58.76,67.19,226.45,148.19
1000173,2000199,2022-02,108.83,55.5,48.23,212.56,139.17
1000173,2000199,2022-03,94.47,111.65,53.23,259.34,169.57
1000173,2000199,2022-04,98.71,124.69,57.81,281.21,183.78
1000173,2000199,2022-05,101.53,56.46,47.38,205.36,134.48
1000173,2000199,2022-06,71.39,62.28,57.14,190.82,125.03
1000173,2000199,2022-07,79.34,49.59,74.77,203.71,133.41
1000173,2000199,2022-08,63.58,87.16,59.59,210.33,137.71
1000173,2000199,2022-09,104.42,69.7,46.1,220.22,144.14
1000173,2000199,2022-10,141.38,132.27,46.49,320.14,209.09
1000173,2000199,2022-11,,,,,
1000173,2000199,2022-12,83.23,111.51,75.78,270.53,176.84
1000175,2000202,2022-01,127.54,71.16,46.4,245.1,160.31
1000175,2000202,2022-02,132.13,73.06,35.7,240.89,157.58
1000175,2000202,2022-03,75.39,63.73,71.8,210.92,138.1
1000175,2000202,2022-04,118.99,85.96,63.87,268.82,175.73
1000175,2000202,2022-05,142.46,98.84,66.01,307.3,200.75
1000175,2000202,2022-06,81.44,93.85,52.06,227.35,148.78
1000175,2000202,2022-07,120.59,72.53,45.57,238.69,156.15
1000175,2000202,2022-08,138.89,102.94,46.47,288.29,188.39
1000175,2000202,2022-09,153.78,80.31,66.22,300.31,196.2
1000175,2000202,2022-10,162.81,107.5,63.99,334.31,218.3
1000175,2000202,2022-11,99.18,129.02,38.66,266.86,174.46
1000175,2000202,2022-12,86.5,78.97,87.77,253.23,165.6
1000201,2000235,2022-01,102.77,52.17,60.28,215.22,140.89
1000201,2000235,2022-02,102.71,99.85,62.81,265.36,173.48
1000201,2000235,2022-03,82.99,63.17,70.76,216.93,142.0
1000201,2000235,2022-04,113.8,57.53,63.24,234.57,153.47
1000201,2000235,2022-05,87.97,101.83,80.13,269.93,176.46
1000201,2000235,2022-06,92.43,83.72,36.93,213.08,139.5
1000201,2000235,2022-07,104.04,88.15,70.83,263.02,171.96
1000201,2000235,2022-08,61.96,62.89,47.7,172.55,113.16
1000201,2000235,2022-09,115.03,84.9,36.3,236.23,154.55
1000201,2000235,2022-10,142.42,84.59,72.21,299.22,195.49
1000201,2000235,2022-11,76.4,65.64,65.09,207.13,135.63
1000201,2000235,2022-12,104.85,87.18,77.22,269.24,176.01
1000214,2000251,2022-01,108.51,136.85,62.61,307.96,201.17
1000214,2000251,2022-02,110.57,75.24,59.15,244.96,160.22
1000214,2000251,2022-03,60.17,58.06,68.2,186.43,122.18
1000214,2000251,2022-04,118.5,125.55,58.21,302.26,197.47
1000214,2000251,2022-05,103.18,117.53,54.93,275.64,180.16
1000214,2000251,2022-06,144.14,112.6,56.01,312.75,204.29
1000214,2000251,2022-07,114.14,122.33,71.44,307.92,201.15
1000214,2000251,2022-08,80.84,117.65,81.27,279.76,182.85
1000214,2000251,2022-09,140.98,55.45,68.62,265.05,173.28
1000214,2000251,2022-10,122.07,67.72,54.72,244.51,159.93
1000214,2000251,2022-11,94.83,107.72,52.06,254.6,166.49
1000214,2000251,2022-12,,,,,
1000226,2000265,2022-01,61.98,92.08,56.98,211.04,138.18
1000226,2000265,2022-02,113.64,79.74,60.48,253.86,166.01
