id_suministro,id_medidor,anio_mes,energia_valle,energia_pico,energia_media,energia_total,monto_facturado
1000000,2000000,2023-01,78.23,81.02,61.56,220.81,144.53
1000000,2000000,2023-02,116.22,96.53,38.09,250.84,164.04
1000000,2000000,2023-03,81.02,110.05,56.66,247.73,162.03
1000000,2000000,2023-04,68.58,101.9,79.99,250.47,163.8
1000000,2000000,2023-05,122.57,46.96,60.52,230.06,150.54
1000000,2000000,2023-06,97.96,130.62,95.23,323.8,211.47
1000000,2000000,2023-07,76.03,57.27,44.85,178.14,116.79
1000000,2000000,2023-08,83.53,56.78,65.72,206.03,134.92
1000000,2000000,2023-09,131.75,85.18,61.67,278.6,182.09
1000000,2000000,2023-10,133.68,89.03,63.39,286.09,186.96
1000000,2000000,2023-11,113.26,100.92,70.23,284.4,185.86
1000000,2000000,2023-12,59.93,94.17,46.73,200.83,131.54
1000014,2000019,2023-01,89.63,89.94,41.99,221.57,145.02
1000014,2000019,2023-02,71.14,103.76,45.15,220.04,144.03
1000014,2000019,2023-03,100.18,100.86,49.18,250.22,163.64
1000014,2000019,2023-04,92.07,67.1,67.33,226.5,148.23
1000014,2000019,2023-05,55.11,107.96,55.36,218.43,142.98
1000014,2000019,2023-06,,,,,
1000014,2000019,2023-07,111.7,109.77,75.29,296.75,193.89
1000014,2000019,2023-08,91.01,68.78,50.43,210.23,137.65
1000014,2000019,2023-09,50.1,83.62,75.8,209.52,137.19
1000014,2000019,2023-10,96.89,107.12,65.02,269.04,175.88
1000014,2000019,2023-11,147.5,85.04,72.67,305.21,199.38
1000014,2000019,2023-12,136.33,108.0,63.6,307.93,201.16
1000017,2000022,2023-01,,,,,
1000017,2000022,2023-02,106.43,88.39,69.34,264.17,172.71
1000017,2000022,2023-03,89.37,58.77,82.69,230.83,151.04
1000017,2000022,2023-04,61.55,94.55,54.7,210.8,138.02
1000017,2000022,2023-05,80.6,97.77,28.47,206.84,135.45
1000017,2000022,2023-06,119.76,91.88,62.13,273.77,178.95
1000017,2000022,2023-07,105.59,131.54,35.36,272.49,178.12
1000017,2000022,2023-08,123.77,65.77,55.89,245.43,160.53
1000017,2000022,2023-09,69.27,65.42,61.61,196.3,128.59
