Mes_Anio,AQI_Promedio
2015-01,54.495327102803735
2015-02,113.25510204081633
2015-03,119.53917050691244
2015-04,154.6952380952381
2015-05,164.69124423963135
2015-06,128.8875
2015-07,111.01209677419355
2015-08,117.24596774193549
2015-09,121.7375
2015-10,200.33870967741936
2015-11,195.52868852459017
2015-12,164.85663082437276
2016-01,190.05376344086022
2016-02,159.50574712643677
2016-03,135.94623655913978
2016-04,138.55555555555554
2016-05,117.10752688172043
2016-06,96.703703703703709
2016-07,105.7516129032258
2016-08,103.74193548387096
2016-09,115.09333333333333
2016-10,180.41935483870967
2016-11,212.62666666666667
2016-12,191.29032258064515
2017-01,188.51290322580644
2017-02,158.50709219858157
2017-03,132.73020527859236
2017-04,129.65102639296188
2017-05,113.1236559139785
2017-06,80.114795918367349
2017-07,58.410138248847929
2017-08,52.836405529953915
2017-09,66.230952380952374
2017-10,122.30184331797236
2017-11,227.36299765807962
2017-12,188.29681274900398
2018-01,201.69259962049335
2018-02,208.18907563025209
2018-03,182.66793168880454
2018-04,128.68361581920905
2018-05,126.02508960573476
2018-06,133.21481481481482
2018-07,102.34767025089606
2018-08,104.2741935483871
2018-09,99.6962962962963
2018-10,179.52150537634409
2018-11,242.85
2018-12,238.34587813620072
2019-01,264.29749103942652
2019-02,195.99806576402321
2019-03,163.87436332767402
2019-04,147.58771929824562
2019-05,139.80475382003397
2019-06,110.80984719864176
2019-07,98.146774193548382
2019-08,95.0784
2019-09,84.68647845468054
2019-10,136.64095371669003
2019-11,185.7608695652174
2019-12,177.84431977559606
2020-01,162.51023192360165
2020-02,155.42068965517242
2020-03,102.28768844221105
2020-04,80.0474358974359
2020-05,84.8424317617866
2020-06,71.91538461538461
2020-07,66.92307692307692
