City,PM2_5,PM10,NO2,SO2,CO
Ahmedabad,67.854496741491673,114.58402948402947,59.025496074232692,55.253732651570488,22.193407142857144
Aizawl,17.13,23.352857142857143,0.3884955752212389,7.3780530973451333,0.28362831858407078
Amaravati,37.773217488789236,76.3620200892857,22.175747767857143,14.258340857787809,0.627903981264637
Amritsar,55.46833485818847,115.2025993091537,18.5221155480034,8.1489173789173783,0.55130131004366811
Bengaluru,35.819828234031128,83.2432868405094,27.995042436345482,5.5190214677983027,1.8386336336336337
Bhopal,50.059571428571431,119.32432142857142,31.345321428571431,13.064821428571429,0.88039285714285709
Brajrajnagar,64.057609561752983,124.2173725490196,16.520539772727272,9.7832214765100662,1.7982741116751269
Chandigarh,41.130242214532871,85.656546052631583,11.611066666666668,10.159374999999999,0.63134868421052637
Chennai,50.425613107822407,62.834403973509936,16.857622909275214,7.8771819564115564,1.0673487903225807
Coimbatore,29.1515873015873,37.982137203166225,28.784533333333336,8.6018798955613569,0.94932114882506524
Delhi,117.19615346287992,232.80922877846791,50.785181863477831,15.901253291205897,1.9760527625684419
Ernakulam,24.944746835443038,48.3356329113924,3.7261682242990655,3.1840506329113922,1.6278481012658228
Gurugram,117.10400655737703,191.50443243243242,23.378165910563837,9.41970079787234,1.2575159235668789
Guwahati,63.685429141716568,116.60490039840639,13.56874251497006,14.664391217564869,0.7352694610778443
Hyderabad,47.0353569539926,91.93153240460326,28.38675429726997,9.1737121212121213,0.59077961019490255
Jaipur,54.500707803992739,123.48350909090908,32.418627272727271,11.071061705989111,0.80089430894308944
Jorapokhar,64.228918205804746,149.65794183445192,9.3429477196885422,33.645183374083125,0.6630487804878048
Kochi,31.428518518518519,67.335432098765438,14.94570512820513,17.595987654320989,1.2966666666666666
Kolkata,64.3628326745718,115.62949934123846,40.396210392902411,8.3921010638297862,0.79925061425061428
Lucknow,109.71405873099108,,33.244403022670028,9.949676092544987,2.1303281171125694
Mumbai,35.198392857142856,96.745058977719523,25.555211640211642,15.197515842839037,0.56836189516129043
Patna,123.49856213402734,126.74795811518325,37.487636033857321,22.132504537205079,1.5335910954891623
Shillong,30.8239837398374,42.199170124481327,2.7509561752988048,6.6254687500000005,0.23967509025270758
Talcher,61.405425101214576,165.77270777479893,13.801024182076814,28.494788540245565,1.8477220077220078
Thiruvananthapuram,28.036616822429906,52.863659217877093,9.380101757631822,5.6565587419056431,0.95137773722627739
Visakhapatnam,46.969610389610388,105.95135399673735,37.193187808896212,12.660153846153847,0.73673928320449766
