id_product,product_name
1,Air Freshener
2,Apple
3,BBQ Sauce
4,Baby Wipes
5,Banana
6,Bath Towels
7,Beef
8,Bread
9,Broom
10,Butter
11,Canned Soup
12,Carrots
13,Cereal
14,Cereal Bars
15,Cheese
16,Chicken
17,Chips
18,Cleaning Rags
19,Cleaning Spray
20,Coffee
21,Deodorant
22,Diapers
23,Dish Soap
24,Dishware
25,Dustpan
26,Eggs
27,Extension Cords
28,Feminine Hygiene Products
29,Garden Hose
30,Hair Gel
31,Hand Sanitizer
32,Honey
33,Ice Cream
34,Insect Repellent
35,Iron
36,Ironing Board
37,Jam
38,Ketchup
39,Laundry Detergent
40,Lawn Mower
41,Light Bulbs
42,Mayonnaise
43,Milk
44,Mop
45,Mustard
46,Olive Oil
47,Onions
48,Orange
49,Pancake Mix
50,Paper Towels
51,Pasta
52,Peanut Butter
53,Pickles
54,Plant Fertilizer
55,Potatoes
56,Power Strips
57,Razors
58,Rice
59,Salmon
60,Shampoo
61,Shaving Cream
62,Shower Gel
63,Shrimp
64,Soap
65,Soda
66,Spinach
67,Sponges
68,Syrup
69,Tea
70,Tissues
71,Toilet Paper
72,Tomatoes
73,Toothbrush
74,Toothpaste
75,Trash Bags
76,Trash Cans
77,Tuna
78,Vacuum Cleaner
79,Vinegar
80,Water
81,Yogurt
